p_date,ticker_code,EPS_Q_EST,REV_Q_EST,EPS_A_EST,REV_A_EST,EPS_Q_EST_FP,REV_Q_EST_FP,EPS_A_EST_FP,REV_A_EST_FP,EPS_LT,PRICE_LT,REV_Q_ACT,NI_Q_ACT,REV_A_ACT,NI_A_ACT,ACT_CLOSE_PRICE,ACT_OPEN_PRICE,ACT_HIGH_PRICE,ACT_LOW_PRICE,ACT_VOLUME
4/16/18,GOOGL,8.33186325,33059.70833,67.804286,164535.3333,0,0,44561,44561,19.119271,1281.488372,22433.25,4869.5,111024,12662,1046.1,1045.55,1051.429,1033.92,1488.822
4/17/18,GOOGL,8.33186325,33059.70833,68.5275,166346.2857,0,0,44561,44561,19.119271,1280.325581,22433.25,4869.5,111024,12662,1079.36,1061.2,1085,1057.09,2729.197
4/18/18,GOOGL,8.33186325,33059.70833,68.5275,166346.2857,0,0,44561,44561,19.119271,1279.744186,22433.25,4869.5,111024,12662,1075.39,1079.01,1082,1070.515,1556.298
4/19/18,GOOGL,8.33186325,33059.70833,67.85,166064.5714,0,0,44561,44561,18.862129,1278.581395,22433.25,4869.5,111024,12662,1089.45,1069.02,1097.51,1069.02,1994.247
4/20/18,GOOGL,8.33186325,33059.70833,68.4575,166064.5714,0,0,44561,0,18.862129,1278.581395,22433.25,4869.5,111024,12662,1077.32,1084.27,1094.75,1072.1,2121.692
4/23/18,GOOGL,8.33186325,33059.70833,68.4575,166064.5714,0,0,0,0,18.862129,1279.162791,22433.25,4869.5,111024,12662,1073.81,1082.98,1088,1066.68,3479.496
4/24/18,GOOGL,8.33186325,33059.70833,64.9475,209267.1429,0,0,44561,44561,15.763114,1256.386047,22433.25,4869.5,111024,12662,1022.64,1059.2,1064.49,1012.855,6411.038
4/25/18,GOOGL,8.33186325,33059.70833,64.9475,209267.1429,0,0,0,0,15.763114,1256.386047,22433.25,4869.5,111024,12662,1022.99,1029.75,1036.07,1017.01,2893.047
4/26/18,GOOGL,8.33186325,33059.70833,47.189551,159634,0,0,43830,43830,15.763114,1257.083721,22433.25,4869.5,111024,12662,1043.31,1033.22,1052.02,1020.45,2546.332
4/27/18,GOOGL,8.33186325,33059.70833,47.216474,159634,0,0,43830,0,15.763114,1257.688372,22433.25,4869.5,111024,12662,1031.45,1045.54,1051.695,1027.59,2037.263
